Date,Fear Greed,rating
2025-08-11,57,greed
2025-08-12,62,greed
2025-08-13,63,greed
2025-08-14,63,greed
2025-08-15,63,greed
2025-08-18,64,greed
2025-08-19,59,greed
2025-08-20,55,greed
2025-08-21,55,greed
2025-08-22,61,greed
2025-08-25,58,greed
2025-08-26,60,greed
2025-08-27,64,greed
2025-08-28,65,greed
2025-08-29,60,greed
2025-09-02,52,neutral
2025-09-03,51,neutral
2025-09-04,55,greed
2025-09-05,53,neutral
2025-09-08,50,neutral
2025-09-09,51,neutral
2025-09-10,49,neutral
2025-09-11,54,neutral
2025-09-12,54,neutral
2025-09-15,58,greed
2025-09-16,57,greed
2025-09-17,57,greed
2025-09-18,57,greed
2025-09-18,57,greed
