lookback_days,momentum_threshold,use_dynamic_sizing,use_multi_timeframe,use_regime_detection,use_volatility_adjustment,Return,Drawdown,WinRate,Score
3,2.0,True,False,False,False,21.935436402790312,-0.3528796819609291,0.8791208791208791,11.284078584847416
3,2.0,True,True,False,False,21.27960666035028,-0.3528796819609292,0.8928571428571429,10.961658219121905
3,2.0,True,False,False,True,17.779647234485186,-0.5368567470617176,0.8793103448275862,9.187862080467456
3,2.0,True,True,False,True,17.24265064141362,-0.5368567470617176,0.89375,8.925139646000638
3,2.0,True,False,True,False,16.036044184162126,-0.32308011507700807,0.8852459016393442,8.339812441229101
3,2.0,True,True,True,False,15.304189610076993,-0.32308011507700807,0.8994082840236687,7.9795501071402635
3,2.0,True,False,True,True,12.0505968222833,-0.4939893588765091,0.8857142857142857,6.330185189539713
3,2.0,True,True,True,True,11.489953818797279,-0.49398935887650886,0.9006211180124224,6.055826420715957
3,2.0,False,False,True,False,5.948821373349883,-0.20817428614175348,0.8852459016393442,3.307691618716504
3,2.0,False,True,True,False,5.911074576401644,-0.20817428614175337,0.8994082840236687,3.294483173196114
3,2.0,False,True,False,False,5.632614358611354,-0.20817428614175315,0.8928571428571429,3.152632607834359
3,2.0,False,False,False,False,5.56092464989783,-0.20817428614175382,0.8791208791208791,3.1112932479830913
3,2.0,False,True,False,True,5.248836767571748,-0.31741629071217226,0.89375,2.950176754714657
3,2.0,False,False,False,True,5.181295182392127,-0.31741629071217226,0.8793103448275862,2.9106301000558807
3,2.0,False,False,True,True,5.117189973155459,-0.31741629071217203,0.8857142857142857,2.881139071792227
3,2.0,False,True,True,True,5.083960693626706,-0.31741629071217226,0.9006211180124224,2.8704871649471047
